,fecha,portero_l,defensas_l,centrocampistas_l,delanteros_l,alineacion_l,local,Resultado_l,gol_l,gol_v,Resultado_v,visitante,alineacion_v,portero_v,defensas_v,centrocampistas_v,delanteros_v,victorias_l,empates,victorias_v
37,2021-09-13,71.83,60.25,64.02,70.06,4-5-1,GRANADA,P,1,2,G,REAL BETIS,4-2-3-1,76.83,67.5,65.59,67.83,18,11,25
38,2021-12-21,76.83,62.46,67.72,68.78,4-4-2,VILLARREAL,G,5,2,P,DEPORTIVO ALAVES,4-3-3,78.5,56.5,61.78,63.1,11,1,14
39,2021-12-21,73.0,63.39,72.2,70.33,4-3-3,SEVILLA,E,1,1,E,BARCELONA,4-3-3,86.33,63.17,68.0,69.92,45,38,111
40,2021-09-17,68.0,64.11,70.72,72.89,4-4-2,CELTA,P,1,2,G,CADIZ,4-5-1,72.5,62.63,65.57,64.4,16,7,11
41,2021-09-18,70.5,57.92,66.17,68.08,4-2-3-1,RAYO VALLECANO,G,3,0,P,GETAFE,4-2-3-1,77.0,61.92,67.22,65.33,10,5,8
42,2021-09-18,85.83,66.97,74.44,77.08,3-5-2,ATLETICO,E,0,0,E,ATHLETIC,4-4-2,77.17,64.42,69.28,55.56,91,35,79
43,2021-09-18,70.17,61.27,56.67,69.17,5-3-2,ELCHE,E,1,1,E,LEVANTE,3-5-2,68.33,62.4,63.42,72.23,17,20,25
44,2021-09-18,70.67,57.62,59.89,63.1,4-4-2,DEPORTIVO ALAVES,P,0,2,G,OSASUNA,4-5-1,72.5,60.08,65.08,66.17,23,12,32
45,2021-09-19,68.17,65.54,63.5,66.5,4-4-2,MALLORCA,E,0,0,E,VILLARREAL,4-3-3,76.83,62.46,68.22,66.83,14,11,19
46,2021-09-19,77.67,60.29,69.75,71.46,4-4-2,R. SOCIEDAD,E,0,0,E,SEVILLA,4-3-3,73.0,71.79,72.88,68.17,50,33,49
47,2021-09-19,78.5,63.17,67.94,64.33,4-2-3-1,REAL BETIS,E,2,2,E,ESPANYOL,4-5-1,72.67,64.47,69.11,70.17,44,38,47
48,2021-09-19,76.42,66.12,71.54,65.0,4-4-2,VALENCIA,P,1,2,G,REAL MADRID,4-3-3,81.5,72.0,75.33,74.44,57,42,106
49,2021-09-20,86.33,64.39,70.75,73.93,4-3-3,BARCELONA,E,1,1,E,GRANADA,4-5-1,71.83,62.78,67.58,65.89,42,5,7
50,2021-09-21,77.0,57.43,64.56,61.58,5-3-2,GETAFE,P,1,2,G,ATLETICO,4-4-2,85.83,66.38,75.42,75.92,4,9,24
51,2021-09-21,77.17,65.67,67.55,47.06,4-4-2,ATHLETIC,P,1,2,G,RAYO VALLECANO,4-2-3-1,70.5,59.92,66.92,67.0,19,11,10
52,2021-09-21,68.33,61.2,61.33,70.83,5-3-2,LEVANTE,P,0,2,G,CELTA,4-3-3,68.0,63.08,67.83,72.89,6,8,16
53,2021-09-22,72.67,62.76,68.22,67.94,4-5-1,ESPANYOL,G,1,0,P,DEPORTIVO ALAVES,4-4-2,78.5,55.33,60.22,62.32,15,8,13
54,2021-09-22,73.0,65.29,71.67,70.89,4-2-3-1,SEVILLA,G,3,1,P,VALENCIA,4-4-2,76.42,65.71,70.72,65.67,75,34,88
55,2021-09-22,81.5,71.44,74.0,73.67,4-2-3-1,REAL MADRID,G,6,1,P,MALLORCA,4-2-3-1,68.17,62.56,66.14,66.07,39,12,15
56,2021-09-22,79.67,68.08,67.72,68.95,4-3-3,VILLARREAL,G,4,1,P,ELCHE,3-5-2,70.17,50.83,58.75,64.08,6,12,6
57,2021-09-23,71.83,60.25,67.58,72.08,4-2-3-1,GRANADA,P,2,3,G,R. SOCIEDAD,4-2-3-1,77.83,59.71,68.84,72.22,23,10,25
58,2021-09-23,72.5,60.08,65.08,66.17,4-5-1,OSASUNA,P,1,3,G,REAL BETIS,4-2-3-1,78.5,65.0,71.12,62.17,25,13,36
59,2021-09-23,72.5,62.33,64.2,64.25,4-4-2,CADIZ,E,0,0,E,BARCELONA,4-3-3,86.33,64.23,68.0,70.04,3,4,19
60,2021-09-25,78.5,58.13,57.0,62.27,4-4-2,DEPORTIVO ALAVES,G,1,0,P,ATLETICO,5-3-2,85.83,64.29,74.44,76.06,9,5,17
61,2021-09-25,79.0,65.71,69.41,65.0,4-4-2,VALENCIA,E,1,1,E,ATHLETIC,4-4-2,77.17,64.42,69.28,55.56,74,45,69
62,2021-09-25,73.0,71.79,71.83,70.83,4-3-3,SEVILLA,G,2,0,P,ESPANYOL,4-5-1,72.67,64.5,68.56,70.0,79,34,53
63,2021-09-25,81.5,71.33,75.33,73.67,4-2-3-1,REAL MADRID,E,0,0,E,VILLARREAL,4-3-3,76.83,63.58,69.22,68.95,26,14,4
64,2021-09-26,71.17,64.61,64.32,65.42,4-2-3-1,MALLORCA,P,2,3,G,OSASUNA,4-5-1,72.08,60.33,64.0,70.0,21,22,21
65,2021-09-26,86.33,65.02,64.8,71.28,4-4-2,BARCELONA,G,3,0,P,LEVANTE,4-4-2,79.0,63.79,63.0,67.6,28,5,5
