,portero_l,defensas_l,centrocampistas_l,delanteros_l,alineacion_l,local,Resultado_l,visitante,alineacion_v,portero_v,defensas_v,centrocampistas_v,delanteros_v,victorias_l,empates,victorias_v
26,86.33333333333333,60.95791666666667,65.66666666666666,75.77777777777779,4-3-3,BARCELONA,G,REAL VALLADOLID,4-5-1,78.16666666666667,63.92166666666666,64.1875,62.916666666666664,64,16,16
27,76.33333333333333,62.89633333333334,65.46333333333334,64.5,4-5-1,ESPANYOL,P,REAL MADRID,4-3-3,81.5,71.66666666666667,73.45833333333333,73.58333333333333,45,36,115
28,72.5,61.74966666666666,69.93333333333334,64.94444444444444,4-4-2,CADIZ,P,ATHLETIC,4-2-3-1,77.16666666666667,64.66666666666667,67.56944444444444,68.1388888888889,10,7,17
29,76.41666666666667,62.75,69.94444444444444,66.33333333333333,4-3-3,VALENCIA,P,ATLETICO,5-3-2,85.83333333333333,63.416666666666664,73.91666666666667,71.91666666666667,67,50,81
30,78.83333333333333,59.791666666666664,67.16666666666667,71.38888888888889,4-4-2,CELTA,G,CADIZ,4-5-1,72.5,64.86874999999999,66.74444444444445,65.65888888888888,16,8,12
31,70.33333333333333,63.26666666666667,66.58916666666667,54.5,5-3-2,MALLORCA,E,GIRONA,3-6-1,72.01620370370371,56.19133333333334,63.833333333333336,54.833333333333336,8,6,7
32,81.5,74.875,72.77777777777777,72.94444444444444,4-3-3,REAL MADRID,G,REAL BETIS,4-2-3-1,76.83333333333333,61.958333333333336,71.125,63.666666666666664,75,29,31
33,77.66666666666667,62.958333333333336,69.83333333333333,66.0,4-4-2,R. SOCIEDAD,E,ATLETICO,3-5-2,85.83333333333333,63.416666666666664,74.33333333333333,72.8888888888889,48,36,79
34,73.0,68.66666666666667,70.8,68.16666666666667,4-3-3,SEVILLA,P,BARCELONA,4-3-3,86.33333333333333,60.95791666666667,65.66666666666666,75.77777777777779,45,39,112
35,72.5,59.463750000000005,62.54777777777778,65.11111111111111,4-2-3-1,OSASUNA,G,RAYO VALLECANO,4-2-3-1,70.5,60.958333333333336,65.58333333333333,62.17499999999999,14,11,20
